#{"t_start": 1639340636.1403403, "env_id": null}
r,l,t
-5,611,2.418114
-5,648,4.877097
-5,522,6.001474
-5,778,8.772764
-5,661,11.350634
-5,479,12.330855
-5,572,14.983064
-5,605,16.274866
-5,444,18.458611
-4,728,20.100801
-5,517,22.332852
-5,486,23.458404
-5,535,25.757861
-5,482,26.760891
-5,583,29.24639
-5,534,30.378501
-5,718,33.10874
-5,573,35.584906
-5,645,37.053016
-5,540,39.324757
-5,866,42.379498
-5,589,43.794692
-3,835,46.717273
-5,642,49.301284
-5,591,50.637408
-5,569,53.318588
-5,989,56.696979
-5,1184,60.390227
-5,799,63.303986
-5,441,64.253028
-5,598,66.798473
-5,656,68.137977
-5,531,70.451555
-5,521,71.498454
-5,899,74.711175
-5,654,77.670479
-5,410,78.728153
-5,620,81.398908
-5,763,84.086785
-5,631,85.437113
-5,907,88.807192
-4,1180,93.409875
-5,507,96.594658
-5,552,98.015883
-5,837,101.596998
-4,701,104.274884
-5,702,107.69368
-5,745,109.934149
-5,571,113.63081
-5,495,115.304939
-3,808,120.704021
-4,745,124.336203
-4,688,127.835235
-5,1077,132.461169
-4,1279,139.755611
-5,572,141.055571
-5,747,143.984164
-5,637,146.516561
-5,647,148.168073
-4,580,152.178326
-5,618,156.318258
-5,635,157.837997
-5,554,161.014172
-5,563,162.147082
-5,460,164.155997
-5,633,165.615446
-5,705,168.097346
-5,540,170.311364
-4,945,172.307485
-5,617,174.761777
-5,461,176.756226
-5,562,177.981012
-5,491,180.020146
-5,512,181.074016
-5,886,184.203641
-5,1045,188.200074
-5,654,190.900651
-5,660,192.355247
-5,555,194.870926
-5,396,195.954342
-5,604,199.101563
-5,549,200.370183
-5,470,202.750381
-5,738,204.459573
-5,623,207.139103
-5,531,210.547857
-5,541,212.557031
-5,528,216.343147
-5,783,218.175094
-4,689,220.927855
-5,574,223.359638
-4,1023,226.712738
-5,503,227.872618
-5,590,230.614195
-5,603,232.068362
-5,638,234.860136
-5,611,237.289762
-5,628,238.624346
-5,661,241.147446
-5,613,242.726948
-3,877,246.649345
-5,462,248.892665
-5,559,250.635261
912
-5,548,238.447995
-5,515,239.544947
-5,1096,244.787277
-5,448,246.23556
-4,562,248.687096
-5,735,250.834822
